DistrictId,DistrictName,Attendance,TotalSchools,TotalStudents
2408,"Surendranagar","82.9 %",59,11330
2401,"Kachchh","84.4 %",1212,162557
2418,"Dohad","85.1 %",1274,259715
2433,"Morbi","86.5 %",468,71517
2407,"Ahmedabad","86.8 %",844,221076
2417,"Panch Mahals","87.7 %",1065,148121
2412,"Junagadh","87.7 %",68,9956
2432,"Chhotaudepur","87.9 %",881,80533
2405,"Sabar Kantha","88.6 %",810,104000
2403,"Patan","88.8 %",493,93846
2402,"Banaskantha","89.2 %",1811,338518
2415,"Anand","89.4 %",689,123881
2419,"Vadodara","89.5 %",871,113924
2431,"Mahisagar","89.6 %",999,102616
2423,"The Dangs","89.7 %",224,23158
2406,"Gandhinagar","89.9 %",419,76953
2427,"Aravalli","90.0 %",911,83473
2416,"Kheda","90.2 %",928,139873
2409,"Rajkot","90.3 %",804,124264
2413,"Amreli","90.8 %",450,66187
2422,"Surat","91.0 %",884,191920
2429,"Devbhoomi Dwarka","91.7 %",74,7972
2428,"Botad","92.1 %",154,43849
2414,"Bhavnagar","92.1 %",655,162963
2425,"Valsad","92.6 %",504,72852
2421,"Bharuch","92.6 %",488,59218
2404,"Mahesana","92.8 %",660,120508
2410,"Jamnagar","93.5 %",7,650
2426,"Tapi","93.7 %",421,37936
2420,"Narmada","94.1 %",509,43733
2430,"Gir Somnath","95.2 %",7,432
2424,"Navsari","95.8 %",463,49900
