SchoolId,SchoolName,ClusterName,BlockName,DistrictName,Attendance,TotalStudents
24180306801,"Andhari Pri Shala","Dhudhiya","Limkheda","Dohad","62.7 %","311"
24180306702,"Manlli Khokhara Varg","Dhudhiya","Limkheda","Dohad","73.1 %","316"
24180306901,"Parpata Pri Shala","Dhudhiya","Limkheda","Dohad","81.7 %","160"
24180306803,"Andhari Kakara Varg","Dhudhiya","Limkheda","Dohad","83.3 %","34"
24180306802,"Andhari Velali Pri Shala","Dhudhiya","Limkheda","Dohad","84.5 %","58"
24180306704,"Manlli Uchvash Faliya Varg","Dhudhiya","Limkheda","Dohad","87.1 %","101"
24180306601,"Kundali Pri Shala","Dhudhiya","Limkheda","Dohad","87.1 %","452"
24180306703,"Manlli Simada Faliya Varg","Dhudhiya","Limkheda","Dohad","88.7 %","50"
24180306701,"Manlli Pri Shala","Dhudhiya","Limkheda","Dohad","88.8 %","363"
24180306602,"Kundali Bhey Faliya Varg","Dhudhiya","Limkheda","Dohad","90.5 %","95"
