DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200407,"Shahpur-8","22.5 %","null %","49.5 %","37.3 %","16.5 %","17.8 %","17.0 %",126
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200413,"Shahpur-15","24.3 %","null %","null %","null %","18.9 %","23.9 %","31.1 %",226
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200404,"Shahpur-5","32.2 %","null %","null %","null %","27.7 %","33.8 %","35.6 %",258
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200401,"Shahpur-1","35.5 %","null %","null %","null %","32.3 %","36.1 %","37.5 %",188
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200410,"Shahpur-11","37.4 %","48.5 %","31.1 %","41.8 %","null %","30.7 %","41.3 %",151
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200402,"Shahpur-2","40.5 %","null %","null %","40.5 %","null %","null %","null %",102
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200403,"Shahpur-4","42.0 %","61.5 %","61.9 %","48.0 %","33.3 %","40.5 %","43.4 %",210
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200461,"Shahpur English School","44.4 %","55.5 %","52.5 %","40.2 %","38.7 %","null %","null %",160
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200414,"Shahpur-16","52.5 %","61.7 %","62.7 %","36.6 %","null %","null %","null %",95
2407,"Ahmedabad",240712,"Amc","2407120004","Asarwa - 2",24071200405,"Shahpur-6","53.3 %","62.7 %","58.5 %","43.9 %","null %","null %","null %",288
